"Title","Volume","Issues","Publisher","Image"
"","","","",""
"Age of Ultron","1","AVENGERS (2010) #12.1 and AGE OF ULTRON #1-10","Marvel","https://s3.amazonaws.com/comicgeeks/comics/covers/large-3304637.jpg?1711845737"
"The Authority: Relentless","1","","Wildstorm",""
"The Authority: Under New Management","2","","Wildstorm",""
"The Authority: Earth Inferno and other stories","3","","Wildstorm",""
"The Authority: Transfer or Power","4","","Wildstorm",""
"The Authority: Harsh Realities","5","","Wildstorm",""
"The Authority: Fractured Worlds","6","","Wildstorm",""
"The Authority: Revolution Book 1","7","","Wildstorm",""
"The Authority: Revolution Book 2","8","","Wildstorm",""
"The Authority: World's End","9","","Wildstorm",""
"Avengers Disassembled","","","Marvel",""
"New Avengers: Breakout","1","","Marvel",""
"New Avengers: Sentry","2","","Marvel",""
"Young Avengers: Sidekicks","1","","Marvel",""
"Young Avengers: Family Matters","2","","Marvel",""
"House of M","","","Marvel",""
"New Avengers: Secrets & Lies","3","","Marvel",""
"New Avengers: The Collective","4","","Marvel",""
"New Avengers: Civil War","5","","Marvel",""
"Civil War Prelude: New Warriors","","","Marvel",""
"Civil War","","","Marvel",""
"Civil War: Amazing Spider-man","","","Marvel",""
"New Avengers: Revolution","6","","Marvel",""
"Mighty Avengers: The Ultron Initiative","1","","Marvel",""
"New Avengers: The Trust","7","","Marvel",""
"Mighty Avengers: Venom Bomb","2","","Marvel",""
"New Avengers: Illuminati","","","Marvel",""
"Mighty Avengers: Secret Invasion Book 1","3","","Marvel",""
"New Avengers: Secrete Invasion Book 1","8","","Marvel",""
"New Avengers: Secrete Invasion Book 2","9","","Marvel",""
"Secret Invasion","","","Marvel",""
"Mighty Avengers: Secret Invasion Book 2","4","","Marvel",""
"New Avengers: Power","10","","Marvel",""
"Mighty Avengers: Earth's Mightiest","","","Marvel",""
"New Avengers: Search for the Sorcerer Supreme","11","","Marvel",""
"New Avengers: Powerloss","12","","Marvel",""
"Siege: Mighty Avengers","","","Marvel",""
"Siege","","","Marvel",""
"Siege New Avengers","","","Marvel",""
"Fear Itself","","","Marvel",""
"Avengers","1","","Marvel",""
"New Avengers","1","","Marvel",""
"Avengers","2","","Marvel",""
"Age of Ultron","","","Marvel",""
"Original Sin","","","Marvel",""
"Avengers: The Complete Collection","1","","Marvel",""
"Avengers: The Complete Collection","2","","Marvel",""
"Avengers: The Complete Collection","3","","Marvel",""
"Avengers: The Complete Collection","4","","Marvel",""
"Avengers: The Complete Collection","5","","Marvel",""
"Secret Wars","","","Marvel",""
"Infinity Wars","","","Marvel",""
"Empyre","","","Marvel",""
"Uncanny Avengers","1","","Marvel",""
"Uncanny Avengers","2","","Marvel",""
"Uncanny Avengers","3","","Marvel",""
"Uncanny Avengers","4","","Marvel",""
"Uncanny Avengers","5","","Marvel",""
"Batman: The Dark Knight Returns","","","DC",""
"Batman: Hush","1","","DC",""
"Batman: Hush","2","","DC",""
"Batman: The Long Halloween","","","DC",""
"Batman: RIP","","","DC",""
"Batman: Year One","","","DC",""
"Batman/Punisher","","","DC/Marvel",""
"Batman vs Predator","","","DC / Dark Horse",""
"Batman vs. Predator II: Bloodmatch","","","DC / Dark Horse",""
"Batman & Robin: Batman Reborn","","","DC",""
"Battle Chasers","","","Cliffhanger",""
"Black Cherry","","","Image",""
"Black Hammer","1","","Dark Horse",""
"Black Hammer","2","","Dark Horse",""
"Black Widow: Deadly Origin","","","Marvel",""
"Black Widow: The Things They Say About Her...","","","Marvel",""
"Black Widow: The Name of the Rose","","","Marvel",""
"Blood Hunt","","","Marvel",""
"B.P.R.D. Hollow Earth & Other Stories","1","","Dark Horse",""
"B.P.R.D. The Soul of Venice & Other Stories","2","","Dark Horse",""
"B.P.R.D. Plague of Frogs","3","","Dark Horse",""
"B.P.R.D. The Dead","4","","Dark Horse",""
"B.P.R.D. The Black Flame","5","","Dark Horse",""
"B.P.R.D. The Universal Machine","6","","Dark Horse",""
"B.P.R.D. Garden of Souls","7","","Dark Horse",""
"B.P.R.D. Killing Ground","8","","Dark Horse",""
